species,n_pairs,r_obs,r_shuf,r_shuf_sd,lag1_autocorr,median_spacing_bp,CV
S_cerevisiae,67516,0.7826,0.782,0.0004,0.0507,164,0.611
S_pombe,75822,0.8107,0.811,0.0003,0.0688,151,0.473
